term,docket,sitting,audio_title,audio_link
2022,22-23,April,"Oral Argument - April 17, 2023",https://api.oyez.org/case_media/oral_argument_audio/25597
2022,22-200,April,"Oral Argument - April 17, 2023",https://api.oyez.org/case_media/oral_argument_audio/25605
2022,22-174,April,"Oral Argument - April 18, 2023",https://api.oyez.org/case_media/oral_argument_audio/25602
2022,21-1326,April,"Oral Argument - April 18, 2023",https://api.oyez.org/case_media/oral_argument_audio/25604
2022,22-138,April,"Oral Argument - April 19, 2023",https://api.oyez.org/case_media/oral_argument_audio/25601
2022,22-210,April,"Oral Argument - April 24, 2023",https://api.oyez.org/case_media/oral_argument_audio/25600
2022,22-227,April,"Oral Argument - April 24, 2023",https://api.oyez.org/case_media/oral_argument_audio/25599
2022,22-381,April,"Oral Argument - April 25, 2023",https://api.oyez.org/case_media/oral_argument_audio/25603
2022,22-166,April,"Oral Argument - April 26, 2023",https://api.oyez.org/case_media/oral_argument_audio/25598
2022,21-1484,March,"Oral Argument - March 20, 2023",https://api.oyez.org/case_media/oral_argument_audio/25587
2022,21-1043,March,"Oral Argument - March 21, 2023",https://api.oyez.org/case_media/oral_argument_audio/25591
2022,22-105,March,"Oral Argument - March 21, 2023",https://api.oyez.org/case_media/oral_argument_audio/25594
2022,22-148,March,"Oral Argument - March 22, 2023",https://api.oyez.org/case_media/oral_argument_audio/25596
2022,21-757,March,"Oral Argument - March 27, 2023",https://api.oyez.org/case_media/oral_argument_audio/25589
2022,22-179,March,"Oral Argument - March 27, 2023",https://api.oyez.org/case_media/oral_argument_audio/25592
2022,21-1576,March,"Oral Argument - March 28, 2023",https://api.oyez.org/case_media/oral_argument_audio/25590
2022,22-49,March,"Oral Argument - March 28, 2023",https://api.oyez.org/case_media/oral_argument_audio/25593
2022,22-196,March,"Oral Argument - March 29, 2023",https://api.oyez.org/case_media/oral_argument_audio/25588
2022,21-1599,March,"Oral Argument - March 29, 2023",https://api.oyez.org/case_media/oral_argument_audio/25595
2022,21-1333,February,"Oral Argument - February 21, 2023",https://api.oyez.org/case_media/oral_argument_audio/25504
2022,21-1496,February,"Oral Argument - February 22, 2023",https://api.oyez.org/case_media/oral_argument_audio/25508
2022,22-10,February,"Oral Argument - February 27, 2023",https://api.oyez.org/case_media/oral_argument_audio/25505
2022,22-506,February,"Oral Argument - February 28, 2023",https://api.oyez.org/case_media/oral_argument_audio/25506
2022,22-535,February,"Oral Argument - February 28, 2023",https://api.oyez.org/case_media/oral_argument_audio/25507
2022,156-orig,February,"Oral Argument - March 01, 2023",https://api.oyez.org/case_media/oral_argument_audio/25509
2022,21-1397,January,"Oral Argument - January 09, 2023",https://api.oyez.org/case_media/oral_argument_audio/25474
2022,21-1454,January,"Oral Argument - January 09, 2023",https://api.oyez.org/case_media/oral_argument_audio/25473
2022,21-1449,January,"Oral Argument - January 10, 2023",https://api.oyez.org/case_media/oral_argument_audio/25469
2022,22-96,January,"Oral Argument - January 11, 2023",https://api.oyez.org/case_media/oral_argument_audio/25477
2022,21-1436,January,"Oral Argument - January 17, 2023",https://api.oyez.org/case_media/oral_argument_audio/25472
2022,21-1450,January,"Oral Argument - January 17, 2023",https://api.oyez.org/case_media/oral_argument_audio/25471
2022,21-887,January,"Oral Argument - January 18, 2023",https://api.oyez.org/case_media/oral_argument_audio/25470
2022,21-1158,December,"Oral Argument - November 28, 2022",https://api.oyez.org/case_media/oral_argument_audio/25463
2022,21-1170,December,"Oral Argument - November 28, 2022",https://api.oyez.org/case_media/oral_argument_audio/25467
2022,22-58,December,"Oral Argument - November 29, 2022",https://api.oyez.org/case_media/oral_argument_audio/25460
2022,21-1164,December,"Oral Argument - November 30, 2022",https://api.oyez.org/case_media/oral_argument_audio/25464
2022,21-476,December,"Oral Argument - December 05, 2022",https://api.oyez.org/case_media/oral_argument_audio/25462
2022,21-1270,December,"Oral Argument - December 05, 2022",https://api.oyez.org/case_media/oral_argument_audio/25466
2022,21-1052,December,"Oral Argument - December 06, 2022",https://api.oyez.org/case_media/oral_argument_audio/25461
2022,21-908,December,"Oral Argument - December 06, 2022",https://api.oyez.org/case_media/oral_argument_audio/25465
