term,sitting,docket,run
2024,October,23-191,0
2024,October,23-677,0
2024,October,23-852,0
2024,October,23-621,0
2024,October,22-7466,0
2024,October,23-365,0
2024,October,23-583,0
2024,October,23-713,0
2024,October,23-753,0
2024,November,23-1127,0
2024,November,23-715,0
2024,November,23-217,0
2024,November,23-980,0
2024,November,23-929,0
2024,November,23-825,0
2024,November,23-970,0
2024,December,23-1038,0
2024,December,23-824,0
2024,December,23-867,0
2024,December,23-477,0
2024,December,23-909,1
2024,December,23-861,1
2024,December,23-975,1
2024,December,23-900,1
