Case,Date_Argued,Date_Decided,Lower_Court,Decision,Author,Coalition,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON,Docket
Acheson Hotels LLC v. Laufer,2023-10-04,2023-12-05,CA1,Vacate & Remand,Barrett,(9-0),1,5,1,1,1,1,1,100,5,22-429
Murray v. UBS Securities LLC,2023-10-09,2024-02-07,CA2,Reverse and Remand,Sotomayor,(9-0),1,1,2,100,1,1,1,3,1,22-660
Department of Agriculture Rural Development Rural Housing Service v. Kirtz,2023-11-05,2024-02-07,CA3,Affirm,Gorsuch,(9-0),1,1,1,1,1,100,1,1,1,22-846
Great Lakes Ins. SE v. Raiders Retreat Reality Co.,2023-10-09,2024-02-20,CA3,Reverse,Kavanaugh,(9-0),1,2,1,1,1,1,100,1,1,22-500
McElrath v. Georgia,2023-11-17,2024-02-20,SCGA,Reverse and Remand,Jackson,(9-0),1,1,2,1,1,1,1,1,100,22-721
Trump v. Anderson,2024-02-08,2024-03-04,SCCO,Reverse,Per Curiam,(9-0),1,1,1,5,6,1,1,7,6,23-719
O'Connor-Ratcliff v. Garnier,2023-10-31,2024-03-15,CA9,Vacate & Remand,Per Curiam,(9-0),1,1,1,1,1,1,1,1,1,22-324
Lindke v. Freed,2023-10-31,2024-03-15,CA6,Vacate & Remand,Barrett,(9-0),1,1,1,1,1,1,1,100,1,22-611
Pulsifer v. United States,2023-10-02,2024-03-15,CA8,Affirm,Kagan,(6-3),1,1,1,-2,100,-1,1,1,-2,22-340
Wilkinson v. Garland,2023-11-28,2024-03-19,CA3,Reverse In Part Vacate In Part Remand,Sotomayor,(6-3),-3,-2,-1,100,1,1,1,1,5,22-666
FBI v. Fikre,2024-01-08,2024-03-19,CA9,Affirm,Gorsuch,(9-0),1,1,2,1,1,100,3,1,1,22-1178
Bissonnette v. LePage Bakeries Park St. LLC,2024-02-20,2024-04-12,CA2,Vacate & Remand,Roberts,(9-0),100,1,1,1,1,1,1,1,1,23-51
Macquarie Infrastructure Corp. v. Moab Partners,2024-01-16,2024-04-12,CA2,Vacate & Remand,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,22-1165
Sheetz v. County of El Dorado California,2024-01-09,2024-04-12,Cal. Ct. App.,Vacate & Remand,Barrett,(9-0),1,1,1,2,3,2,2,100,3,22-1074
