(9-0),(8-1),(7-2),(6-3),(5-4),(8-0)
Acheson Hotels,       ,Rudisill,Pulsifer v. U.S.,Becerra,Truck Insurance Exchange
Murray,       ,CFPB,Wilkinson,Campos-Chavez,       
Dept. of Agric. Rural Dev.,       ,       ,Warner Chappell Music Inc.,       ,       
Greater Lakes Ins.,       ,       ,Culley,       ,       
McElrath,       ,       ,Alexander,       ,       
Trump,       ,       ,Brown v. U.S. (Cons. w. 22-6640),       ,       
O'Connor-Ratcliff,       ,       ,Thornell,       ,       
Lindke,       ,       ,U.S. Trustee v. John Q. Hammons,       ,       
FBI,       ,       ,Garland,       ,       
Bissonnette,       ,       ,       ,       ,       
Macquarie Infrastructure Corp.,       ,       ,       ,       ,       
Sheetz,       ,       ,       ,       ,       
Devillier,       ,       ,       ,       ,       
Muldrow,       ,       ,       ,       ,       
McIntosh v. U.S.,       ,       ,       ,       ,       
Harrow,       ,       ,       ,       ,       
Smith,       ,       ,       ,       ,       
Coinbase Inc.,       ,       ,       ,       ,       
NRA,       ,       ,       ,       ,       
Cantero,       ,       ,       ,       ,       
Connelly,       ,       ,       ,       ,       
FDA,       ,       ,       ,       ,       
Vidal, Under Sec. of Comm.,       ,       ,       ,       ,       
Starbucks Corp.,       ,       ,       ,       ,       
