"Author","Opinion Type","Count"
"Alito","Concurrence",7
"Alito","Dissent",4
"Alito","Majority",4
"Barrett","Concurrence",5
"Barrett","Dissent",2
"Barrett","Majority",5
"Gorsuch","Concurrence",9
"Gorsuch","Dissent",6
"Gorsuch","Majority",6
"Jackson","Concurrence",9
"Jackson","Dissent",6
"Jackson","Majority",5
"Kagan","Concurrence",2
"Kagan","Dissent",3
"Kagan","Majority",6
"Kavanaugh","Concurrence",5
"Kavanaugh","Dissent",3
"Kavanaugh","Majority",6
"Roberts","Concurrence",1
"Roberts","Dissent",1
"Roberts","Majority",6
"Sotomayor","Concurrence",4
"Sotomayor","Dissent",5
"Sotomayor","Majority",7
"Thomas","Concurrence",9
"Thomas","Dissent",5
"Thomas","Majority",7
