Case,Docket,Sitting,Author,Type,Word Count
Wilkinson v. Garland,22-666,December,CHIEF JUSTICE ROBERTS,Dissent,81
FBI v. Fikre,22-1178,January,JUSTICE ALITO; JUSTICE KAVANAUGH,Concurrence,166
Trump v. Anderson,23-719,February,JUSTICE BARRETT,Concurrence,175
Sheetz v. County of El Dorado,22-1074,January,JUSTICE KAVANAUGH; JUSTICE KAGAN; JUSTICE JACKSON,Concurrence,206
McElrath v. Georgia,22-721,December,JUSTICE ALITO,Concurrence,232
Sheetz v. County of El Dorado,22-1074,January,JUSTICE SOTOMAYOR; JUSTICE JACKSON,Concurrence,271
Muldrow v. St. Louis,22-193,December,JUSTICE ALITO,Concurrence,360
Coinbase Inc. v. Suski,23-3,February,JUSTICE GORSUCH,Concurrence,419
Wilkinson v. Garland,22-666,December,JUSTICE JACKSON,Concurrence,516
O'Connor-Ratcliff v. Garner,22-324,November,Per Curiam,Per Curiam,558
Muldrow v. St. Louis,22-193,December,JUSTICE KAVANAUGH,Concurrence,670
Warner Chappell Music Inc. v. Nealy,22-1078,February,JUSTICE GORSUCH; JUSTICE THOMAS; JUSTICE ALITO,Dissent,676
CFPB v. Community Financial Services Assn.,22-448,October,JUSTICE JACKSON,Concurrence,688
Muldrow v. St. Louis,22-193,December,JUSTICE THOMAS,Concurrence,704
Sheetz v. County of El Dorado,22-1074,January,JUSTICE GORSUCH,Concurrence,738
Acheson Hotels v. Laufer,22-429,October,JUSTICE BARRETT,Majority Opinion,920
CFPB v. Community Financial Services Assn.,22-448,October,JUSTICE KAGAN; JUSTICE SOTOMAYOR; JUSTICE KAVANAUGH; JUSTICE BARRETT,Concurrence,1285
Rudisill v. McDonough,22-888,November,JUSTICE KAVANAUGH; JUSTICE BARRETT,Concurrence,1397
Smith v. Spizzirri,22-1218,April,JUSTICE SOTOMAYOR,Majority Opinion,1407
Devillier v. Texas,22-913,January,JUSTICE THOMAS,Majority Opinion,1606
Trump v. Anderson,23-719,February,JUSTICE SOTOMAYOR; JUSTICE KAGAN; JUSTICE
JACKSON,Concurrence,1691
Wilkinson v. Garland,22-666,December,JUSTICE ALITO; CHIEF JUSTICE and; JUSTICE THOMAS,Dissent,1715
Warner Chappell Music Inc. v. Nealy,22-1078,February,JUSTICE KAGAN,Majority Opinion,1941
Greater Lakes Ins. v. Raiders Retreat Realty Co.,22-500,October,JUSTICE THOMAS,Concurrence,2097
Coinbase Inc. v. Suski,23-3,February,JUSTICE JACKSON,Majority Opinion,2117
Macquarie Infrastructure Corp. v. Moab Partners,22-1165,January,JUSTICE SOTOMAYOR,Majority Opinion,2281
Trump v. Anderson,23-719,February,Per Curiam,Per Curiam,2331
Acheson Hotels v. Laufer,22-429,October,JUSTICE JACKSON,Concurrence,2467
Bissonnette v. LePage Bakeries,23-51,February,CHIEF JUSTICE ROBERTS,Majority Opinion,2491
McElrath v. Georgia,22-721,December,JUSTICE JACKSON,Majority Opinion,2808
FBI v. Fikre,22-1178,January,JUSTICE GORSUCH,Majority Opinion,2822
Acheson Hotels v. Laufer,22-429,October,JUSTICE THOMAS,Concurrence,2836
Harrow v. Dept. of Defense,23-21,March,JUSTICE KAGAN,Majority Opinion,2863
Muldrow v. St. Louis,22-193,December,JUSTICE KAGAN,Majority Opinion,3015
Sheetz v. County of El Dorado,22-1074,January,JUSTICE BARRETT,Majority Opinion,3031
Culley v. Marshall,22-585,November,JUSTICE GORSUCH; JUSTICE THOMAS,Concurrence,3344
Rudisill v. McDonough,22-888,November,JUSTICE THOMAS; JUSTICE ALITO,Dissent,3458
McIntosh v. U.S.,22-7386,February,JUSTICE SOTOMAYOR,Majority Opinion,3655
Culley v. Marshall,22-585,November,JUSTICE SOTOMAYOR; JUSTICE KAGAN; JUSTICE JACKSON,Dissent,3717
Greater Lakes Ins. v. Raiders Retreat Realty Co.,22-500,October,JUSTICE KAVANAUGH,Majority Opinion,3928
Culley v. Marshall,22-585,November,JUSTICE KAVANAUGH,Majority Opinion,4007
Murray v. UBS Securities,22-660,October,JUSTICE SOTOMAYOR,Majority Opinion,4140
Wilkinson v. Garland,22-666,December,JUSTICE SOTOMAYOR,Majority Opinion,4398
Lindke v. Freed,22-611,November,JUSTICE BARRETT,Majority Opinion,4671
Rudisill v. McDonough,22-888,November,JUSTICE JACKSON,Majority Opinion,5214
Brown v. U.S. (Cons. w. 22-6640),22-6389,December,JUSTICE ALITO,Majority Opinion,5321
Brown v. U.S. (Cons. w. 22-6640),22-6389,December,JUSTICE JACKSON; JUSTICE KAGAN; JUSTICE GORSUCH,Dissent,5651
Dept. of Agric. Rural Dev. v. Kirtz,22-846,November,JUSTICE GORSUCH,Majority Opinion,6087
CFPB v. Community Financial Services Assn.,22-448,October,JUSTICE THOMAS,Majority Opinion,6442
CFPB v. Community Financial Services Assn.,22-448,October,JUSTICE ALITO; JUSTICE GORSUCH,Dissent,6632
Alexander v. SC Conf. of NAACP,22-807,October,JUSTICE THOMAS,Concurrence,8517
Pulsifer v. U.S.,22-340,October,JUSTICE KAGAN,Majority Opinion,8743
Alexander v. SC Conf. of NAACP,22-807,October,JUSTICE ALITO,Majority Opinion,9155
Pulsifer v. U.S.,22-340,October,JUSTICE GORSUCH; JUSTICE SOTOMAYOR; JUSTICE JACKSON,Dissent,9656
Alexander v. SC Conf. of NAACP,22-807,October,JUSTICE KAGAN; JUSTICE SOTOMAYOR; JUSTICE JACKSON,Dissent,10833
