short_hand,docket,sitting,opinion_writer,opinion_type,word_count
Alexander v. SC Conf. of NAACP,22-807,October,Kagan,Dissent,10833
Pulsifer v. U.S.,22-340,October,Gorsuch,Dissent,9656
Alexander v. SC Conf. of NAACP,22-807,October,Alito,Majority,9155
Pulsifer v. U.S.,22-340,October,Kagan,Majority,8743
Alexander v. SC Conf. of NAACP,22-807,October,Thomas,Concurrence,8517
CFPB v. Community Financial Services Assn.,22-448,October,Alito,Dissent,6632
CFPB v. Community Financial Services Assn.,22-448,October,Thomas,Majority,6442
Dept. of Agric. Rural Dev. v. Kirtz,22-846,November,Gorsuch,Majority,6087
Brown v. U.S. (Cons. w. 22-6640),22-6389,December,Jackson,Dissent,5651
Brown v. U.S. (Cons. w. 22-6640),22-6389,December,Alito,Majority,5321
