short_hand,docket,sitting,opinion_writer,opinion_type,word_count
Wilkinson v. Garland,22-666,December,Roberts,Dissent,81
Vidal, Under Sec. of Comm. v. Elster,22-704,November,Kavanaugh,Concurrence,85
FBI v. Fikre,22-1178,January,Alito,Concurrence,166
Trump v. Anderson,23-719,February,Barrett,Concurrence,175
Sheetz v. County of El Dorado,22-1074,January,Kavanaugh,Concurrence,206
NRA v. Vullo,22-842,March,Gorsuch,Concurrence,221
McElrath v. Georgia,22-721,December,Alito,Concurrence,232
Thornell v. Jones,22-982,April,Sotomayor,Dissent,244
Sheetz v. County of El Dorado,22-1074,January,Sotomayor,Concurrence,271
Muldrow v. St. Louis,22-193,December,Alito,Concurrence,360
