"Justice","Vote","Raw Count","Percent"
"Alito","Majority",45,80.36
"Alito","Minority",10,17.86
"Barrett","Majority",51,91.07
"Barrett","Minority",5,8.93
"Gorsuch","Majority",44,78.57
"Gorsuch","Minority",12,21.43
"Jackson","Majority",42,75
"Jackson","Minority",14,25
"Kagan","Majority",41,73.21
"Kagan","Minority",15,26.79
"Kavanaugh","Majority",53,94.64
"Kavanaugh","Minority",3,5.36
"Roberts","Majority",54,96.43
"Roberts","Minority",2,3.57
"Sotomayor","Majority",41,73.21
"Sotomayor","Minority",15,26.79
"Thomas","Majority",44,78.57
"Thomas","Minority",12,21.43
