"Justice","Coalition","Percent"
"Alito","Majority",82.11
"Alito","Minority",17.89
"Barrett","Majority",91.44
"Barrett","Minority",8.56
"Breyer","Majority",80.03
"Breyer","Minority",19.97
"Ginsburg","Majority",78.2
"Ginsburg","Minority",21.8
"Gorsuch","Majority",81.66
"Gorsuch","Minority",18.34
"Jackson","Majority",82.08
"Jackson","Minority",17.92
"Kagan","Majority",82.67
"Kagan","Minority",17.33
"Kavanaugh","Majority",94.17
"Kavanaugh","Minority",5.83
"Kennedy","Majority",92.79
"Kennedy","Minority",7.21
"Roberts","Majority",90.18
"Roberts","Minority",9.82
"Scalia","Majority",82.39
"Scalia","Minority",17.61
"Sotomayor","Majority",78.58
"Sotomayor","Minority",21.42
"Souter","Majority",74.24
"Souter","Minority",25.76
"Stevens","Majority",68.85
"Stevens","Minority",31.15
"Thomas","Majority",78.74
"Thomas","Minority",21.26
