"Justice","Coalition","Percent"
"Alito","Majority",82.13
"Alito","Minority",17.87
"Barrett","Majority",90.83
"Barrett","Minority",9.17
"Breyer","Majority",80.03
"Breyer","Minority",19.97
"Ginsburg","Majority",78.2
"Ginsburg","Minority",21.8
"Gorsuch","Majority",81.72
"Gorsuch","Minority",18.28
"Jackson","Majority",79.65
"Jackson","Minority",20.35
"Kagan","Majority",82.17
"Kagan","Minority",17.83
"Kavanaugh","Majority",94.01
"Kavanaugh","Minority",5.99
"Kennedy","Majority",92.79
"Kennedy","Minority",7.21
"Roberts","Majority",90.15
"Roberts","Minority",9.85
"Scalia","Majority",82.39
"Scalia","Minority",17.61
"Sotomayor","Majority",78.15
"Sotomayor","Minority",21.85
"Souter","Majority",74.24
"Souter","Minority",25.76
"Stevens","Majority",68.85
"Stevens","Minority",31.15
"Thomas","Majority",78.77
"Thomas","Minority",21.23
