"Justice","Vote","Raw Count","Percent"
"Alito","Majority",17,68
"Alito","Minority",8,32
"Barrett","Majority",20,80
"Barrett","Minority",5,20
"Gorsuch","Majority",15,60
"Gorsuch","Minority",10,40
"Jackson","Majority",11,44
"Jackson","Minority",14,56
"Kagan","Majority",10,40
"Kagan","Minority",15,60
"Kavanaugh","Majority",22,88
"Kavanaugh","Minority",3,12
"Roberts","Majority",23,92
"Roberts","Minority",2,8
"Sotomayor","Majority",10,40
"Sotomayor","Minority",15,60
"Thomas","Majority",17,68
"Thomas","Minority",8,32
