Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Robert M. Loeb,Orick, Herrington,Chicago,NA,Yes,3
Roman Martinez,Latham Watkins,Yale,Roberts,Yes,13
S. Michael Mccolloch,McColloch Law,St. Mary's,NA,No,0
Shannon W. Stevenson,CO SG Office,Duke,NA,No,0
Shay Dvoretzky,Skadden, Arps, Slate, Meagher and Flom LLP and Affiliates,Yale,Scalia,Yes,17
Sopan Joshi,SG Office,Northwestern,Scalia, Alito,Yes,8
Stephen J. Petrany,GA AG Office,Yale,Alito,Yes,1
Steven Y. Yurowitz,Newman and Greenberg,Yeshiva,NA,No,0
Theane D. Evangelis,Gibson Dunn,NYU,O'Connor,No,0
Traci L. Lovitt,Jones Day,Duke,O'Connor,Yes,1
Victoria R. Ferres,Port Huron,Michigan State,NA,No,0
Vivek Suri,SG Office,Brooklyn Law School,NA,Yes,7
Yaira Dubin,SG Office,Harvard,Kagan,Yes,2
