speaker,appearance_count,arguments,gender,scotus_clerk,sg_office,law_school
Aaron L. Nielson,2,22-555; 22-913,Male,1,0,Harvard
Adam G. Unikowsky,2,23-250; 22-429,Male,1,0,Harvard
Aileen M. McGrath,1,22-1074,Female,1,0,Harvard
Aimee W. Brown,2,22-193; 23-21,Female,1,1,Chicago
Alexander W. Samuels,1,22-899,Male,0,0,Harvard
Allon Kedem,1,22-611,Male,1,1,Yale
Allyson N. Ho,1,22-1079,Female,1,0,Chicago
Andrew L. Adler,1,22-6389,Male,0,0,Miami
Andrew M. Grossman,1,22-800,Male,0,0,George Mason
Anthony A. Yang,2,22-1079; 22-660,Male,0,1,Yale
Anya A. Bidwell,1,22-1025,Female,0,0,Texas
Austin L. Raynor,2,23-367; 22-6389,Male,1,1,Virginia
Benjamin W. Snyder,2,22-1008; 22-846,Male,1,1,Harvard
Brian H. Fletcher,3,22-859; 22-976; 23-411,Male,1,1,Harvard
Brian Wolfman,1,22-193,Male,0,0,Harvard
Bryan K. Weir,1,22-1008,Male,0,0,George Mason
C. Kevin Marshall,1,22-1079,Male,1,0,Chicago
Caroline A. Flynn,2,23-250; 22-807,Female,1,1,Michigan
Catherine E. Stetson,1,23A349,Female,0,0,Virginia
Charles L. McCloud,1,22-674,Male,1,1,Harvard
Colleen E. Roh Sinzdak,2,23-108; 22-666,Female,,1,Harvard
Curtis E. Gannon,2,23-334; 23-124,,,,
D. John Sauer,1,23-939,,,,
D. Nick Harper,1,23-370,,,,
Daniel L. Geyser,2,22-1218; 22-1238,,,,
David C. Frederick,2,22-1165; 22-1079,,,,
David D. Cole,1,22-842,,,,
David J. Harris,1,23-3,,,,
E. Joshua Rosenkranz,1,22-1218,,,,
Easha Anand,3,23-50; 22-674; 22-660,,,,
"Edmund G. LaCour, Jr.",1,22-585,,,,
Edwin S. Kneedler,2,23-175; 22-913,,,,
Elizabeth B. Prelogar,10,23-5572; 23-726; 22-800; 22-277; 22-555; 22-1219; 22-451; 23-235; 22-915; 22-448,,,,
Ephraim McDowell,2,22-1165; 22-842,,,,
Eric J. Feigin,2,22-899; 23-370,,,,
Eric T. Lee,1,23-334,,,,
Erica L. Ross,2,22-1074; 22-429,,,,
Erin M. Hawley,1,23-235,,,,
Eugene Scalia,1,22-660,,,,
Frederick Liu,2,22O141; 22-340,,,,
Gadeir Abbas,1,22-1178,,,,
Gregory G. Garre,1,23-124,,,,
Hari Santhanam,1,22-899,,,,
Hashim M. Mooppan,1,22-324,,,,
Henry C. Whitaker,1,22-277,,,,
Howard J. Bashman,1,22-500,,,,
J. Benjamin Aguinaga,1,23-411,,,,
J. Matthew Wright,1,22-915,,,,
Jaime A. Santos,1,22-666,,,,
Jason C. Murray,1,23-719,,,,
Jason D. Lewis,1,22-982,,,,
Jean-Claude Andre,1,22-982,,,,
Jeffrey B. Wall,1,22-500,,,,
Jeffrey J. Wechsler,1,22O141,,,,
Jeffrey L. Fisher,2,23-14; 23-370,,,,
Jeffrey T. Green,2,23-5572; 22-6389,,,,
Jennifer D. Bennett,1,23-51,,,,
Jessica L. Ellsworth,2,23-3; 23-235,,,,
Joe Wesley Earnhardt,1,22-1078,,,,
John M. Gore,1,22-807,,,,
Jonathan E. Taylor,2,22-529; 22-704,,,,
Jonathan F. Mitchell,2,22-976; 23-719,,,,
Joshua N. Turner,1,23-726,,,,
Joshua P. Davis,1,23-21,,,,
Judith N. Vale,1,23A349,,,,
Kannon K. Shanmugam,2,22-1078; 23-146,,,,
Kelsi B. Corkran,2,23-175; 22-429,,,,
Lanora C. Pettit,1,22O141,,,,
Leah C. Aden,1,22-807,,,,
Linda T. Coberly,1,22-1165,,,,
Lisa S. Blatt,4,23-108; 23-367; 22-529; 22-1025,,,,
Lloyd B. Miller,1,23-250,,,,
Malcolm L. Stewart,3,22-529; 23A349; 22-704,,,,
Masha G. Hansford,2,22-1238; 22-611,,,,
Mathura J. Sridharan,1,23A349,,,,
Matthew Guarnieri,2,22-7386; 23-14,,,,
Megan M. Wold,1,23-50,,,,
Michael R. Dreeben,1,23-939,,,,
Misha Tseytlin,1,22-888,,,,
Nandan M. Joshi,1,22-846,,,,
Neal Kumar Katyal,1,22-842,,,,
Nicole F. Reaves,2,22-1025; 22-585,,,,
Noel J. Francisco,1,22-448,,,,
Pamela S. Karlan,1,22-324,,,,
Paul D. Clement,3,22-277; 22-555; 22-451,,,,
Paul J. Beard II,1,22-1074,,,,
Pratik A. Shah,1,23-124,,,,
Richard A. Simpson,1,22-721,,,,
Robert J. McNamara,1,22-913,,,,
Robert M. Loeb,1,22-193,,,,
Roman Martinez,1,22-1219,,,,
S. Michael McColloch,1,22-859,,,,
Shannon W. Stevenson,1,23-719,,,,
Shay Dvoretzky,2,22-585; 22-340,,,,
Sopan Joshi,2,22-1178; 22-324,,,,
Stephen J. Petrany,1,22-721,,,,
Steven Y. Yurowitz,1,22-7386,,,,
Theane D. Evangelis,1,23-175,,,,
Traci L. Lovitt,1,23-51,,,,
Victoria R. Ferres,1,22-611,,,,
Vivek Suri,2,23-50; 22-888,,,,
Yaira Dubin,2,22-1078; 23-146,,,,
