Case,justice
Dept. of Agric. Rural Dev. v. Kirtz (9-0),GORSUCH
FBI v. Fikre (9-0),
Greater Lakes Ins. v. Raiders Retreat Realty Co. (9-0),KAVANAUGH
Culley v. Marshall (6-3),
Cantero v. Bank of America (9-0),
FDA v. Alliance for Hippocratic Medicine (Cons. w. 23-236) (9-0),
Acheson Hotels v. Laufer (9-0),BARRETT
Lindke v. Freed (9-0),
Sheetz v. County of El Dorado (9-0),
McElrath v. Georgia (9-0),JACKSON
Rudisill v. McDonough (7-2),
Coinbase Inc. v. Suski (9-0),
U.S. Trustee v. John Q. Hammons (6-3),
