Origin,Type,Petitions
Dist. Court of Appeal of Florida - Fifth Dist.,State/Other,14
Dist. Court of Appeal of Florida - First Dist.,State/Other,14
Supreme Court of Mississippi,State/Other,14
Supreme Court of Missouri,State/Other,14
Supreme Court of North Carolina,State/Other,14
App. Court of Maryland,State/Other,12
Court of Appeals of Georgia,State/Other,12
Court of Appeals of Oregon,State/Other,12
Court of Appeals of Washington - Div. 2,State/Other,12
Supreme Court of Delaware,State/Other,12
Supreme Court of Montana,State/Other,12
Supreme Court of Wyoming,State/Other,12
App. Court of Illinois - Fourth Dist.,State/Other,10
App. Court of Illinois - Second Dist.,State/Other,10
App. Div. - Supreme Court of New York - First Judicial Dept.,State/Other,10
Court of Appeal of California - Fourth App. Dist. - Div. One,State/Other,10
Court of Appeal of California - Sixth App. Dist.,State/Other,10
Court of Appeals of Indiana,State/Other,10
Court of Appeals of Michigan,State/Other,10
Court of Appeals of Washington - Div. 1,State/Other,10
